ticker,year,phrase,count
AAPL,2015,third party,27
AAPL,2015,intellectual property,13
AAPL,2015,foreign currency,11
AAPL,2015,apple table,10
AAPL,2015,stock price,9
AAPL,2015,materially adversely,9
AAPL,2015,economic condition,8
AAPL,2015,digital content,8
AAPL,2015,trade receivables,8
AAPL,2015,software application,7
AAPL,2015,information technology,7
AAPL,2015,technology system,7
AAPL,2015,regional economic,6
AAPL,2015,gross margin,6
AAPL,2015,personal computer,6
AAPL,2015,retail store,6
AAPL,2015,reasonable term,6
AAPL,2015,property right,6
AAPL,2015,upgrade,6
AAPL,2015,material adverse,5
AAPL,2025,materially adversely,44
AAPL,2025,stock price,39
AAPL,2025,third party,31
AAPL,2025,intellectual property,19
AAPL,2025,affect reputation,16
AAPL,2025,increase cost,11
AAPL,2025,government investigation,11
AAPL,2025,supply chain,9
AAPL,2025,adverse impact,9
AAPL,2025,property right,9
AAPL,2025,commercially reasonable,9
AAPL,2025,confidential information,9
AAPL,2025,affect financial,8
AAPL,2025,trade receivables,8
AAPL,2025,gross margin,8
AAPL,2025,reasonable term,8
AAPL,2025,foreign currency,8
AAPL,2025,material adverse,7
AAPL,2025,economic condition,7
AAPL,2025,change law,7
MSFT,2015,intellectual property,18
MSFT,2015,cloud base,15
MSFT,2015,affect revenue,11
MSFT,2015,operate system,10
MSFT,2015,property right,10
MSFT,2015,operate margin,9
MSFT,2015,content part,8
MSFT,2015,source code,8
MSFT,2015,increase cost,7
MSFT,2015,third party,6
MSFT,2015,intangible asset,6
MSFT,2015,competition law,6
MSFT,2015,vertically integrate,5
MSFT,2015,customer data,5
MSFT,2015,anti corruption,5
MSFT,2015,economic condition,5
MSFT,2015,personal computer,4
MSFT,2015,integrate hardware,4
MSFT,2015,cost revenue,4
MSFT,2015,window phone,4
MSFT,2025,third party,22
MSFT,2025,affect financial,20
MSFT,2025,cloud base,18
MSFT,2025,increase cost,15
MSFT,2025,intellectual property,13
MSFT,2025,supply chain,8
MSFT,2025,personal data,8
MSFT,2025,operate system,7
MSFT,2025,harm reputation,7
MSFT,2025,open source,6
MSFT,2025,threat actor,6
MSFT,2025,unauthorized access,6
MSFT,2025,customer data,6
MSFT,2025,continue evolve,6
MSFT,2025,regulatory requirement,6
MSFT,2025,operate margin,5
MSFT,2025,customer system,5
MSFT,2025,source code,5
MSFT,2025,attack customer,5
MSFT,2025,user data,5
GOOGL,2015,intellectual property,22
GOOGL,2015,capital stock,18
GOOGL,2015,class capital,15
GOOGL,2015,third party,13
GOOGL,2015,class common,12
GOOGL,2015,content alphabet,11
GOOGL,2015,board director,11
GOOGL,2015,property right,8
GOOGL,2015,retain,8
GOOGL,2015,google network,7
GOOGL,2015,network member,7
GOOGL,2015,repurchase program,7
GOOGL,2015,anticipate benefit,6
GOOGL,2015,increase cost,6
GOOGL,2015,damage reputation,6
GOOGL,2015,supply chain,6
GOOGL,2015,web spam,6
GOOGL,2015,price class,6
GOOGL,2015,stock repurchase,6
GOOGL,2015,trade price,5
GOOGL,2025,intellectual property,25
GOOGL,2025,harm reputation,23
GOOGL,2025,harm financial,20
GOOGL,2025,content alphabet,14
GOOGL,2025,data privacy,12
GOOGL,2025,third party,12
GOOGL,2025,data protection,12
GOOGL,2025,board director,12
GOOGL,2025,technical infrastructure,11
GOOGL,2025,class stock,10
GOOGL,2025,strategic arrangement,9
GOOGL,2025,content provider,8
GOOGL,2025,increase cost,8
GOOGL,2025,user data,8
GOOGL,2025,vulnerability,8
GOOGL,2025,affect ability,7
GOOGL,2025,significant resource,7
GOOGL,2025,property right,7
GOOGL,2025,cyber attack,7
GOOGL,2025,regulatory action,7
AMZN,2015,third party,23
AMZN,2015,affect operate,10
AMZN,2015,intellectual property,10
AMZN,2015,fulfillment network,9
AMZN,2015,proprietary right,9
AMZN,2015,invest,8
AMZN,2015,electronic device,7
AMZN,2015,negatively affect,6
AMZN,2015,data center,6
AMZN,2015,commercial agreement,6
AMZN,2015,tax liability,6
AMZN,2015,digital content,5
AMZN,2015,describe elsewhere,5
AMZN,2015,property right,5
AMZN,2015,system interruption,5
AMZN,2015,security breach,5
AMZN,2015,sale tax,5
AMZN,2015,income tax,5
AMZN,2015,delay,5
AMZN,2015,cash flow,4
AMZN,2025,third party,32
AMZN,2025,artificial intelligence,16
AMZN,2025,fulfillment network,13
AMZN,2025,affect operate,12
AMZN,2025,intellectual property,11
AMZN,2025,data security,9
AMZN,2025,invest,9
AMZN,2025,similar,9
AMZN,2025,party seller,8
AMZN,2025,consumer protection,8
AMZN,2025,proprietary right,8
AMZN,2025,electronic device,7
AMZN,2025,damage reputation,7
AMZN,2025,data protection,7
AMZN,2025,data center,7
AMZN,2025,cash flow,6
AMZN,2025,digital content,6
AMZN,2025,machine learn,6
AMZN,2025,property right,6
AMZN,2025,privacy data,6
META,2015,class common,45
META,2015,third party,38
META,2015,user base,19
META,2015,intellectual property,17
META,2015,user engagement,14
META,2015,mobile device,14
META,2015,affect financial,13
META,2015,share class,13
META,2015,negatively affect,12
META,2015,user growth,11
META,2015,web application,11
META,2015,vote power,11
META,2015,adverse effect,9
META,2015,personal computer,9
META,2015,data protection,9
META,2015,trade price,8
META,2015,price class,8
META,2015,active user,8
META,2015,user data,8
META,2015,long term,8
META,2025,third party,45
META,2025,technical infrastructure,18
META,2025,user base,18
META,2025,user engagement,17
META,2025,consumer hardware,15
META,2025,operate system,14
META,2025,user account,14
META,2025,data signal,13
META,2025,user data,13
META,2025,family metric,13
META,2025,violate account,13
META,2025,mobile operate,12
META,2025,negatively affect,12
META,2025,mobile device,12
META,2025,limit ability,11
META,2025,ability deliver,10
META,2025,consumer protection,9
META,2025,user growth,9
META,2025,user experience,9
META,2025,long term,9
NVDA,2015,third party,14
NVDA,2015,intellectual property,13
NVDA,2015,gross margin,10
NVDA,2015,total revenue,7
NVDA,2015,property right,7
NVDA,2015,tegra processor,6
NVDA,2015,design win,6
NVDA,2015,stock price,5
NVDA,2015,revenue decline,5
NVDA,2015,market share,5
NVDA,2015,customer demand,5
NVDA,2015,software development,5
NVDA,2015,development tool,5
NVDA,2015,target market,4
NVDA,2015,industry standard,4
NVDA,2015,design cycle,4
NVDA,2015,lose market,4
NVDA,2015,harm manufacture,4
NVDA,2015,process technology,4
NVDA,2015,manufacture yield,4
NVDA,2025,third party,38
NVDA,2025,export control,33
NVDA,2025,data center,21
NVDA,2025,supply chain,18
NVDA,2025,license requirement,17
NVDA,2025,impact ability,14
NVDA,2025,diffusion ifr,12
NVDA,2025,security incident,11
NVDA,2025,research,10
NVDA,2025,adversely impact,9
NVDA,2025,incur significant,9
NVDA,2025,stock price,9
NVDA,2025,data privacy,9
NVDA,2025,end user,9
NVDA,2025,lead time,8
NVDA,2025,climate change,8
NVDA,2025,limit ability,8
NVDA,2025,market share,7
NVDA,2025,cause incur,7
NVDA,2025,cyber attack,7
TSLA,2015,electric vehicle,23
TSLA,2015,prospect financial,17
TSLA,2015,lithium ion,16
TSLA,2015,convertible senior,15
TSLA,2015,ion cell,13
TSLA,2015,battery pack,13
